street,sa2_code,sa2_name,installation_type,installations,kw_rating,kw_total
PERY STREET,345700,Maniototo,Res,3 or less,10.0,
PUKETOI HIGHFIELD ROAD,345700,Maniototo,Res,3 or less,5.0,
PUKETOI RUNS ROAD,345700,Maniototo,Res,3 or less,5.0,
RANFURLY BACK ROAD,345700,Maniototo,Res,3 or less,5.0,
RANFURLY-WEDDERBURN ROAD,345700,Maniototo,Res,3 or less,8.2,
SCHOOL ROAD,345700,Maniototo,Res,3 or less,5.0,
STUART ROAD,345700,Maniototo,Res,3 or less,3.8,
WELLES STREET,345700,Maniototo,Res,3 or less,2.0,
WET GULLY ROAD,345700,Maniototo,Res,3 or less,5.0,
ANCRUM STREET,345800,Teviot Valley,Res,3 or less,5.0,
CHEVIOT STREET,345800,Teviot Valley,Res,3 or less,2.2,
EDNAM STREET,345800,Teviot Valley,Res,3 or less,5.0,
FERRY ROAD,345800,Teviot Valley,Res,3 or less,2.3,
FRAMES LANE,345800,Teviot Valley,Res,3 or less,5.0,
FRUITLANDS ROXBURGH ROAD,345800,Teviot Valley,Res,3 or less,6.5,
HAWICK STREET,345800,Teviot Valley,Res,3 or less,5.0,
JEDBURGH STREET,345800,Teviot Valley,Res,3 or less,2.0,
KNOBBY RANGE ROAD,345800,Teviot Valley,Res,3 or less,5.0,
LADYSMITH ROAD,345800,Teviot Valley,Res,4,3.8,15.0
MARSH ROAD,345800,Teviot Valley,Res,3 or less,5.1,
MCELLIGOT ROAD,345800,Teviot Valley,Res,3 or less,4.0,
MOA FLAT ROAD,345800,Teviot Valley,Res,3 or less,2.3,
PAISLEY PLACE,345800,Teviot Valley,Res,3 or less,3.1,
SCOTLAND STREET,345800,Teviot Valley,Res,3 or less,5.0,
SELKIRK PLACE,345800,Teviot Valley,Res,4,3.8,15.3
TAMBLYN DRIVE,345800,Teviot Valley,Res,3 or less,4.8,
TEVIOT ROAD,345800,Teviot Valley,Res,3 or less,5.2,
TWEED STREET,345800,Teviot Valley,Res,3 or less,1.5,
WOODHOUSE ROAD,345800,Teviot Valley,Res,3 or less,7.5,
CROSSHILL ROAD,345900,Outer Wanaka,Res,3 or less,5.0,
DUBLIN BAY ROAD,345900,Outer Wanaka,Res,3 or less,6.7,
HORSESHOE BEND DRIVE,345900,Outer Wanaka,Res,3 or less,5.0,
KENNELS LANE,345900,Outer Wanaka,Res,3 or less,4.5,
MAUNGAWERA VALLEY ROAD,345900,Outer Wanaka,Res,6,5.4,32.4
MOCKFORD LANE,345900,Outer Wanaka,Res,3 or less,10.0,
SCHOOL ROAD,345900,Outer Wanaka,Res,3 or less,5.0,
SEVEN LANE,345900,Outer Wanaka,Res,3 or less,5.0,
TE AWA ROAD,345900,Outer Wanaka,Res,3 or less,10.0,
ALASKA STREET,346000,Glenorchy,Res,3 or less,10.0,
AMPHION WAY,346000,Glenorchy,Res,3 or less,3.8,
BIRCHDALE PLACE,346000,Glenorchy,Res,3 or less,5.0,
BUTEMENT STREET,346000,Glenorchy,Res,3 or less,4.0,
COLL STREET,346000,Glenorchy,Res,3 or less,5.8,
GLACIER WAY,346000,Glenorchy,Res,3 or less,12.0,
GLENORCHY PARADISE ROAD,346000,Glenorchy,Res,3 or less,10.0,
GROVES STREET,346000,Glenorchy,Res,3 or less,4.0,
INVINCIBLE DRIVE,346000,Glenorchy,Res,3 or less,4.6,
LOCHBURN AVENUE,346000,Glenorchy,Res,3 or less,2.5,
MOUNT ALFRED RIDGE,346000,Glenorchy,Res,3 or less,17.0,
MULL STREET,346000,Glenorchy,Res,3 or less,5.0,
NEREUS WAY,346000,Glenorchy,Res,3 or less,5.0,
OLD DAIRY CLOSE,346000,Glenorchy,Res,3 or less,2.1,
PRECIPICE LANE,346000,Glenorchy,Res,3 or less,5.0,
REES VALLEY ROAD,346000,Glenorchy,Res,3 or less,7.3,
ROSIE WAY,346000,Glenorchy,Res,3 or less,5.5,
SHIEL STREET,346000,Glenorchy,Res,3 or less,5.0,
WOODLEY PLACE,346000,Glenorchy,Res,3 or less,10.0,
ALPINE RETREAT ROAD,346200,Outer Wakatipu,Res,6,7.3,43.7
BELLBIRD LANE,346200,Outer Wakatipu,Res,3 or less,3.4,
CLOSEBURN ROAD,346200,Outer Wakatipu,Res,3 or less,5.5,
COAL PIT ROAD,346200,Outer Wakatipu,Res,3 or less,3.8,
CORSICAN DRIVE,346200,Outer Wakatipu,Res,3 or less,15.0,
CROWN RANGE ROAD,346200,Outer Wakatipu,Res,3 or less,7.9,
DRIFT BAY ROAD,346200,Outer Wakatipu,Res,3 or less,8.2,
GIBBSTON BACK ROAD,346200,Outer Wakatipu,Res,5,4.0,20.0
GIBBSTON HIGHWAY,346200,Outer Wakatipu,Res,11,6.9,75.9
GLENORCHY QUEENSTOWN ROAD,346200,Outer Wakatipu,Res,3 or less,8.0,
JEFFERY ROAD,346200,Outer Wakatipu,Res,3 or less,7.5,
KINGSTON ROAD,346200,Outer Wakatipu,Res,3 or less,3.4,
LOOKOUT DRIVE,346200,Outer Wakatipu,Res,3 or less,2.8,
MALAGHANS ROAD,346200,Outer Wakatipu,Res,3 or less,5.0,
RAPLEY CLOSE,346200,Outer Wakatipu,Res,3 or less,5.0,
STATE HIGHWAY 6,346200,Outer Wakatipu,Res,3 or less,4.0,
TUI DRIVE,346200,Outer Wakatipu,Res,3 or less,3.0,
VISTA TERRACE,346200,Outer Wakatipu,Res,3 or less,5.0,
WHITECHAPEL ROAD,346200,Outer Wakatipu,Res,3 or less,9.9,
ATKINS ROAD,346400,Cardrona,Res,3 or less,7.6,
BALLANTYNE ROAD,346400,Cardrona,Res,9,6.6,59.2
BLACK PEAK ROAD,346400,Cardrona,Res,4,4.2,17.0
BUCHANAN RISE,346400,Cardrona,Res,3 or less,5.0,
CARDRONA VALLEY ROAD,346400,Cardrona,Res,5,6.2,31.1
FAULKS ROAD,346400,Cardrona,Res,5,5.2,26.0
GOLDEN RIVER LANE,346400,Cardrona,Res,3 or less,5.0,
HILLEND STATION ROAD,346400,Cardrona,Res,3 or less,5.0,
LAFRANCHI LANE,346400,Cardrona,Res,3 or less,7.1,
LAKE MCKAY DRIVE,346400,Cardrona,Res,3 or less,5.0,
LEE AVENUE,346400,Cardrona,Res,3 or less,7.5,
LITTLE ORCHARD WAY,346400,Cardrona,Res,5,5.6,27.8
MAXWELL ROAD,346400,Cardrona,Res,3 or less,6.5,
MIDRUN LANE,346400,Cardrona,Res,3 or less,10.0,
MORRIS ROAD,346400,Cardrona,Res,3 or less,21.1,
MOTATAPU ROAD,346400,Cardrona,Res,3 or less,40.0,
MOUNT BARKER ROAD,346400,Cardrona,Res,13,7.9,102.6
ORCHARD ROAD,346400,Cardrona,Res,3 or less,7.5,
PRINGLES CREEK ROAD,346400,Cardrona,Res,3 or less,9.7,
PROSPECTORS LANE,346400,Cardrona,Res,3 or less,5.0,
RIVERBANK ROAD,346400,Cardrona,Res,3 or less,5.0,
RURU LANE,346400,Cardrona,Res,3 or less,5.0,
SARGINSON LANE,346400,Cardrona,Res,3 or less,5.0,
SMITH ROAD,346400,Cardrona,Res,3 or less,10.0,
STUDHOLME ROAD,346400,Cardrona,Res,3 or less,5.0,
WANAKA MOUNT ASPIRING ROAD,346400,Cardrona,Res,3 or less,5.0,
ATHERTON PLACE,346600,Wanaka Waterfront,Res,3 or less,6.0,
AUBREY ROAD,346600,Wanaka Waterfront,Res,5,4.5,22.4
AVALANCHE PLACE,346600,Wanaka Waterfront,Res,3 or less,10.0,
BAKER GROVE,346600,Wanaka Waterfront,Res,6,7.5,44.9
BEACON POINT ROAD,346600,Wanaka Waterfront,Res,19,6.8,129.7
BRIAR BANK DRIVE,346600,Wanaka Waterfront,Res,5,5.7,28.5
BULL RIDGE,346600,Wanaka Waterfront,Res,3 or less,5.0,
CENTRE CRESCENT,346600,Wanaka Waterfront,Res,3 or less,5.0,
CHERRY COURT,346600,Wanaka Waterfront,Res,3 or less,2.7,
CLEMATIS COURT,346600,Wanaka Waterfront,Res,3 or less,5.0,
COLLINS STREET,346600,Wanaka Waterfront,Res,3 or less,5.0,
DIAMOND LANE,346600,Wanaka Waterfront,Res,3 or less,5.3,
EDGEWOOD PLACE,346600,Wanaka Waterfront,Res,8,5.2,41.7
EELY POINT ROAD,346600,Wanaka Waterfront,Res,3 or less,7.5,
FOREST HEIGHTS,346600,Wanaka Waterfront,Res,9,6.0,53.6
GREENBELT PLACE,346600,Wanaka Waterfront,Res,3 or less,6.2,
HEDDITCH STREET,346600,Wanaka Waterfront,Res,3 or less,4.2,
HILLVIEW PLACE,346600,Wanaka Waterfront,Res,3 or less,6.7,
HUNTER CRESCENT,346600,Wanaka Waterfront,Res,5,4.4,22.0
INFINITY DRIVE,346600,Wanaka Waterfront,Res,15,6.8,101.7
LAKESIDE ROAD,346600,Wanaka Waterfront,Res,3 or less,8.3,
LINDSAY PLACE,346600,Wanaka Waterfront,Res,3 or less,7.1,
LISMORE STREET,346600,Wanaka Waterfront,Res,3 or less,6.3,
MANUKA CRESCENT,346600,Wanaka Waterfront,Res,3 or less,5.0,
MATAI ROAD,346600,Wanaka Waterfront,Res,7,4.5,31.2
MINARET RIDGE,346600,Wanaka Waterfront,Res,13,6.6,86.1
MOUNT GOLD PLACE,346600,Wanaka Waterfront,Res,4,7.3,29.0
MULBERRY LANE,346600,Wanaka Waterfront,Res,3 or less,5.0,
PENRITH PARK DRIVE,346600,Wanaka Waterfront,Res,12,6.4,76.4
PLANTATION ROAD,346600,Wanaka Waterfront,Res,3 or less,6.3,
PLATINUM RIDGE,346600,Wanaka Waterfront,Res,3 or less,5.3,
RANGE VIEW PLACE,346600,Wanaka Waterfront,Res,3 or less,5.0,
RATA STREET,346600,Wanaka Waterfront,Res,4,4.2,16.7
RIDGECREST,346600,Wanaka Waterfront,Res,6,4.4,26.5
RIMU LANE,346600,Wanaka Waterfront,Res,4,5.1,20.5
ROWAN COURT,346600,Wanaka Waterfront,Res,5,5.5,27.4
RUA STREET,346600,Wanaka Waterfront,Res,3 or less,10.0,
SUNNYSIDE LANE,346600,Wanaka Waterfront,Res,3 or less,5.0,
THE TERRACES,346600,Wanaka Waterfront,Res,3 or less,5.0,
TOMS WAY,346600,Wanaka Waterfront,Res,3 or less,7.5,
TOTARA TERRACE,346600,Wanaka Waterfront,Res,3 or less,5.0,
URQUHART PLACE,346600,Wanaka Waterfront,Res,5,6.0,30.0
VALLEY CRESCENT,346600,Wanaka Waterfront,Res,6,6.5,39.0
WAIMANA PLACE,346600,Wanaka Waterfront,Res,3 or less,12.5,
WESTVIEW ROAD,346600,Wanaka Waterfront,Res,8,6.0,48.0
WILEY ROAD,346600,Wanaka Waterfront,Res,3 or less,8.6,
WINDERS ROAD,346600,Wanaka Waterfront,Res,3 or less,3.2,
AEOLUS PLACE,346700,Wanaka North,Res,3 or less,3.3,
AKITU RISE,346700,Wanaka North,Res,6,5.0,30.0
ALLENBY PLACE,346700,Wanaka North,Res,3 or less,5.0,
ANDERSON ROAD,346700,Wanaka North,Res,5,6.0,30.2
ANSTEAD PLACE,346700,Wanaka North,Res,3 or less,6.0,
ASPINALL STREET,346700,Wanaka North,Res,3 or less,9.1,
AUBREY ROAD,346700,Wanaka North,Res,16,6.3,101.4
AURORA LANE,346700,Wanaka North,Res,3 or less,6.8,
BARCLAY PLACE,346700,Wanaka North,Res,4,4.9,19.5
BARGOUR STREET,346700,Wanaka North,Res,3 or less,5.0,
BELLFIELD LANE,346700,Wanaka North,Res,3 or less,5.0,
BEVAN PLACE,346700,Wanaka North,Res,3 or less,4.5,
BOB LEE PLACE,346700,Wanaka North,Res,3 or less,3.0,
BONSPIEL ROAD,346700,Wanaka North,Res,3 or less,8.9,
BOVETT PLACE,346700,Wanaka North,Res,3 or less,1.5,
CAIRNMUIR STREET,346700,Wanaka North,Res,3 or less,5.4,
CAMBRIAN STREET,346700,Wanaka North,Res,3 or less,4.6,
CARRICKMORE CRESCENT,346700,Wanaka North,Res,4,7.8,31.0
CASCADE DRIVE,346700,Wanaka North,Res,3 or less,2.5,
CLEARVIEW STREET,346700,Wanaka North,Res,3 or less,5.4,
COTTESBROOK STREET,346700,Wanaka North,Res,3 or less,4.0,
COTTONWOOD LANE,346700,Wanaka North,Res,3 or less,6.0,
COURTHILL LANE,346700,Wanaka North,Res,3 or less,5.0,
DOW CLOSE,346700,Wanaka North,Res,3 or less,4.9,
DRY FLY AVENUE,346700,Wanaka North,Res,3 or less,6.0,
EREWHON CRESCENT,346700,Wanaka North,Res,3 or less,7.5,
FARRANT DRIVE,346700,Wanaka North,Res,5,5.7,28.3
FASTNESS CRESCENT,346700,Wanaka North,Res,3 or less,6.5,
FENTON AVENUE,346700,Wanaka North,Res,3 or less,7.5,
GLEN DENE CRESCENT,346700,Wanaka North,Res,4,6.0,24.1
GLENARAY CRESCENT,346700,Wanaka North,Res,3 or less,5.0,
GLENAVON GREEN,346700,Wanaka North,Res,3 or less,4.0,
GLENFINNON PLACE,346700,Wanaka North,Res,3 or less,5.9,
GLENGYLE WAY,346700,Wanaka North,Res,3 or less,8.0,
GOWANBRAE LANE,346700,Wanaka North,Res,3 or less,5.0,
GREENWOOD LANE,346700,Wanaka North,Res,3 or less,5.0,
HAWKDUN PLACE,346700,Wanaka North,Res,3 or less,10.0,
HIDDEN HILLS DRIVE,346700,Wanaka North,Res,4,6.0,24.0
HIGHFIELD RIDGE,346700,Wanaka North,Res,8,5.4,42.8
HOHERIA RISE,346700,Wanaka North,Res,3 or less,4.0,
ISLINGTON PLACE,346700,Wanaka North,Res,5,4.9,24.5
JUNO PLACE,346700,Wanaka North,Res,3 or less,6.8,
KAHU CLOSE,346700,Wanaka North,Res,3 or less,3.1,
KAMAHI STREET,346700,Wanaka North,Res,3 or less,5.0,
KAPUKA LANE,346700,Wanaka North,Res,4,3.9,15.8
KAREAREA RISE,346700,Wanaka North,Res,3 or less,3.3,
KINGS DRIVE,346700,Wanaka North,Res,9,4.0,36.2
KIRIMOKO CRESCENT,346700,Wanaka North,Res,3 or less,5.0,
KOTARE DRIVE,346700,Wanaka North,Res,7,5.1,35.5
KURI PLACE,346700,Wanaka North,Res,3 or less,4.6,
KYEBURN STREET,346700,Wanaka North,Res,3 or less,7.5,
LAMMERMOOR STREET,346700,Wanaka North,Res,3 or less,8.6,
LANDSBOROUGH LANE,346700,Wanaka North,Res,4,4.0,16.1
LAUDERDALE LANE,346700,Wanaka North,Res,3 or less,5.0,
LINNBURN ROAD,346700,Wanaka North,Res,3 or less,10.0,
LIVERPOOL WAY,346700,Wanaka North,Res,3 or less,10.0,
MAKOMAKO ROAD,346700,Wanaka North,Res,6,5.4,32.6
MALVERN ROAD,346700,Wanaka North,Res,3 or less,7.3,
MATAKANUI LANE,346700,Wanaka North,Res,3 or less,7.6,
MATARAKI PLACE,346700,Wanaka North,Res,4,6.2,24.6
MATIPO STREET,346700,Wanaka North,Res,4,4.5,18.1
MATRICA COURT,346700,Wanaka North,Res,3 or less,5.0,
MCLEOD AVENUE,346700,Wanaka North,Res,3 or less,4.8,
MCNEIL CRESCENT,346700,Wanaka North,Res,4,5.6,22.3
MCRAE RISE,346700,Wanaka North,Res,3 or less,5.0,
MILLS ROAD,346700,Wanaka North,Res,6,6.9,41.6
MOHUA MEWS,346700,Wanaka North,Res,3 or less,2.5,
MONCRIEFF PLACE,346700,Wanaka North,Res,3 or less,5.0,
MOUNT BURKE STREET,346700,Wanaka North,Res,3 or less,4.1,
MOUNT CREIGHTON CRESCENT,346700,Wanaka North,Res,4,7.2,28.7
MOUNT IDA PLACE,346700,Wanaka North,Res,3 or less,6.5,
MOUNT IRON DRIVE,346700,Wanaka North,Res,6,4.5,26.9
MOUNT LINTON AVENUE,346700,Wanaka North,Res,8,5.7,45.8
MOUNT NICHOLAS AVENUE,346700,Wanaka North,Res,3 or less,9.3,
MOUNT ROY TERRACE,346700,Wanaka North,Res,3 or less,5.4,
MOUTERE PLACE,346700,Wanaka North,Res,3 or less,11.0,
NOKOMAI STREET,346700,Wanaka North,Res,3 or less,7.5,
NORTHBURN ROAD,346700,Wanaka North,Res,3 or less,4.9,
OBELISK STREET,346700,Wanaka North,Res,5,6.6,33.0
ORION PLACE,346700,Wanaka North,Res,3 or less,1.7,
PEAK VIEW RIDGE,346700,Wanaka North,Res,3 or less,4.6,
PEARCE PLACE,346700,Wanaka North,Res,3 or less,5.0,
PERROW STREET,346700,Wanaka North,Res,3 or less,3.0,
PLANTATION ROAD,346700,Wanaka North,Res,3 or less,4.6,
PUKEKO PLACE,346700,Wanaka North,Res,6,3.1,18.8
RAGAN LANE,346700,Wanaka North,Res,3 or less,4.0,
RESERVE LANE,346700,Wanaka North,Res,3 or less,6.7,
RIVERSLEA ROAD,346700,Wanaka North,Res,6,7.2,43.0
ROB ROY LANE,346700,Wanaka North,Res,14,6.0,83.7
ROBROSA STREET,346700,Wanaka North,Res,3 or less,10.0,
ROCKLANDS COURT,346700,Wanaka North,Res,3 or less,5.1,
SAWDON STREET,346700,Wanaka North,Res,3 or less,5.0,
SCAIFE PLACE,346700,Wanaka North,Res,3 or less,4.4,
SCURR TERRACE,346700,Wanaka North,Res,3 or less,5.0,
TAKAHE LANE,346700,Wanaka North,Res,3 or less,5.0,
TERRANOVA PLACE,346700,Wanaka North,Res,3 or less,4.6,
THE HEIGHTS AVENUE,346700,Wanaka North,Res,4,6.3,25.0
TREVATHAN LANE,346700,Wanaka North,Res,3 or less,5.0,
TUKE LANE,346700,Wanaka North,Res,4,6.0,23.9
TUOHY LANE,346700,Wanaka North,Res,3 or less,5.0,
TYNDALL STREET,346700,Wanaka North,Res,3 or less,5.0,
WEATHERALL CLOSE,346700,Wanaka North,Res,3 or less,4.9,
WHIO CRESCENT,346700,Wanaka North,Res,4,8.8,35.0
WILKIN ROAD,346700,Wanaka North,Res,5,5.7,28.3
WINEBERRY LANE,346700,Wanaka North,Res,3 or less,4.2,
ALPHA CLOSE,346800,Wanaka West,Res,3 or less,5.0,
BILLS WAY,346800,Wanaka West,Res,6,4.4,26.5
BIRDSONG RISE,346800,Wanaka West,Res,3 or less,5.0,
BLACKSMITHS LANE,346800,Wanaka West,Res,3 or less,4.6,
CLYDESDALE COURT,346800,Wanaka West,Res,3 or less,5.0,
CONS TRACK,346800,Wanaka West,Res,3 or less,17.0,
COROMANDEL STREET,346800,Wanaka West,Res,3 or less,2.8,
DANIELS TERRACE,346800,Wanaka West,Res,3 or less,4.0,
DIVERS LANE,346800,Wanaka West,Res,3 or less,5.0,
EDEN CLOSE,346800,Wanaka West,Res,3 or less,3.8,
ELDERBERRY CRESCENT,346800,Wanaka West,Res,5,8.0,40.0
FAULKS TERRACE,346800,Wanaka West,Res,3 or less,6.5,
FERN BURN CLOSE,346800,Wanaka West,Res,3 or less,5.0,
FOXGLOVE HEIGHTS,346800,Wanaka West,Res,4,7.4,29.5
GALLOWAY TERRACE,346800,Wanaka West,Res,3 or less,7.2,
HEATON PARK DRIVE,346800,Wanaka West,Res,3 or less,5.0,
HEUCHAN LANE,346800,Wanaka West,Res,3 or less,4.5,
HOLLYHOCK LANE,346800,Wanaka West,Res,3 or less,3.0,
HOMESTEAD CLOSE,346800,Wanaka West,Res,3 or less,5.0,
HOULISTON CLOSE,346800,Wanaka West,Res,3 or less,6.0,
HUIA TERRACE,346800,Wanaka West,Res,3 or less,10.4,
HYLAND STREET,346800,Wanaka West,Res,5,3.7,18.5
JADE DRIVE,346800,Wanaka West,Res,6,6.0,36.0
JASPER PLACE,346800,Wanaka West,Res,3 or less,6.7,
JESSIES CRESCENT,346800,Wanaka West,Res,3 or less,4.8,
KELLIHER DRIVE,346800,Wanaka West,Res,8,5.3,42.2
KENNEDY CRESCENT,346800,Wanaka West,Res,8,6.4,51.4
LANSDOWN STREET,346800,Wanaka West,Res,3 or less,6.5,
LARCH PLACE,346800,Wanaka West,Res,3 or less,1.4,
LITTLE ALPHA LOOP,346800,Wanaka West,Res,3 or less,5.0,
LITTLE OAK COMMON,346800,Wanaka West,Res,3 or less,4.6,
MAGGIES WAY,346800,Wanaka West,Res,3 or less,3.0,
MCFARLANE TERRACE,346800,Wanaka West,Res,3 or less,4.0,
MEADOWBROOK PLACE,346800,Wanaka West,Res,3 or less,3.6,
MEADOWSTONE DRIVE,346800,Wanaka West,Res,7,4.9,34.3
MIDDLE PEAK LANE,346800,Wanaka West,Res,3 or less,9.0,
MORROWS MEAD,346800,Wanaka West,Res,3 or less,5.0,
NIGER STREET,346800,Wanaka West,Res,3 or less,7.1,
OAKWOOD PLACE,346800,Wanaka West,Res,3 or less,4.0,
OLD STATION AVENUE,346800,Wanaka West,Res,3 or less,3.9,
PEARL LANE,346800,Wanaka West,Res,3 or less,5.0,
PENNY LANE,346800,Wanaka West,Res,3 or less,2.1,
PERCY LANE,346800,Wanaka West,Res,3 or less,10.0,
RUBY RIDGE,346800,Wanaka West,Res,4,4.9,19.5
SAPPHIRE SPRING RISE,346800,Wanaka West,Res,6,4.8,28.5
SARGOOD DRIVE,346800,Wanaka West,Res,3 or less,4.7,
ST JUST PLACE,346800,Wanaka West,Res,3 or less,3.6,
STACKBRAE AVENUE,346800,Wanaka West,Res,3 or less,5.0,
STONE STREET,346800,Wanaka West,Res,6,3.7,22.2
STONEBROOK DRIVE,346800,Wanaka West,Res,7,4.3,29.9
STUDHOLME ROAD,346800,Wanaka West,Res,3 or less,3.9,
SUNRISE BAY DRIVE,346800,Wanaka West,Res,10,7.8,78.0
TAPLEY PADDOCK,346800,Wanaka West,Res,3 or less,10.0,
THEODORE COURT,346800,Wanaka West,Res,3 or less,5.0,
TURNBULL CRESCENT,346800,Wanaka West,Res,5,6.0,30.0
WANAKA MOUNT ASPIRING ROAD,346800,Wanaka West,Res,6,5.7,34.3
WEST MEADOWS DRIVE,346800,Wanaka West,Res,14,6.0,84.0
WILLOWRIDGE,346800,Wanaka West,Res,3 or less,9.0,
ALISON AVENUE,346900,Albert Town,Res,3 or less,4.4,
ARKLOW STREET,346900,Albert Town,Res,3 or less,7.5,
ASH AVENUE,346900,Albert Town,Res,4,4.9,19.6
AUBREY ROAD,346900,Albert Town,Res,23,6.2,142.8
BALNEAVES LANE,346900,Albert Town,Res,3 or less,5.0,
BERNARD ROAD,346900,Albert Town,Res,3 or less,1.7,
CLAN MAC ROAD,346900,Albert Town,Res,4,7.1,28.2
DALE STREET,346900,Albert Town,Res,5,4.8,24.0
EWING PLACE,346900,Albert Town,Res,6,5.3,31.9
FINCH STREET,346900,Albert Town,Res,3 or less,7.5,
FRYE CRESCENT,346900,Albert Town,Res,9,6.3,56.4
GRIERSON LANE,346900,Albert Town,Res,3 or less,4.6,
GUNN ROAD,346900,Albert Town,Res,3 or less,5.0,
HARDIE PLACE,346900,Albert Town,Res,5,4.8,23.9
HARRIER LANE,346900,Albert Town,Res,3 or less,4.8,
HEAD PLACE,346900,Albert Town,Res,3 or less,5.0,
HEBBARD COURT,346900,Albert Town,Res,3 or less,5.0,
HERON GREEN,346900,Albert Town,Res,3 or less,5.0,
HIKUWAI DRIVE,346900,Albert Town,Res,7,4.0,27.8
HUNT PLACE,346900,Albert Town,Res,3 or less,5.0,
IVY LANE,346900,Albert Town,Res,3 or less,5.0,
JACK YOUNG PLACE,346900,Albert Town,Res,4,6.3,25.0
JASMINE LANE,346900,Albert Town,Res,3 or less,6.6,
KANUKA RISE,346900,Albert Town,Res,5,4.3,21.5
KINGFISHER CRESCENT,346900,Albert Town,Res,4,5.9,23.4
KINGSTON STREET,346900,Albert Town,Res,3 or less,6.5,
LAGOON AVENUE,346900,Albert Town,Res,4,5.8,23.3
MARBLELEAF LANE,346900,Albert Town,Res,3 or less,3.6,
MATHESON CRESCENT,346900,Albert Town,Res,8,4.7,37.5
MCLELLAN PLACE,346900,Albert Town,Res,3 or less,5.0,
MONTEITH ROAD,346900,Albert Town,Res,5,6.6,32.9
OLD RACECOURSE ROAD,346900,Albert Town,Res,10,5.5,55.2
ONYX STREET,346900,Albert Town,Res,3 or less,5.5,
POUNAMU AVENUE,346900,Albert Town,Res,11,7.3,80.5
QUAIL STREET,346900,Albert Town,Res,3 or less,6.0,
QUARTZ LANE,346900,Albert Town,Res,3 or less,5.0,
QUINNAT STREET,346900,Albert Town,Res,6,4.1,24.7
RIBBONWOOD AVENUE,346900,Albert Town,Res,3 or less,3.0,
RIVERHAVEN LANE,346900,Albert Town,Res,3 or less,5.0,
ROCKHAVEN,346900,Albert Town,Res,3 or less,5.0,
RUA STREET,346900,Albert Town,Res,3 or less,10.1,
SANDYS LANE,346900,Albert Town,Res,3 or less,7.5,
SHERWIN AVENUE,346900,Albert Town,Res,5,5.0,25.0
SNOWBERRY STREET,346900,Albert Town,Res,3 or less,6.5,
SORREL STREET,346900,Albert Town,Res,3 or less,5.0,
TAHI STREET,346900,Albert Town,Res,3 or less,5.5,
WAIRAU ROAD,346900,Albert Town,Res,3 or less,4.9,
WARBLER LANE,346900,Albert Town,Res,3 or less,3.8,
WEXFORD STREET,346900,Albert Town,Res,3 or less,5.0,
WICKLOW TERRACE,346900,Albert Town,Res,3 or less,5.0,
WREN STREET,346900,Albert Town,Res,3 or less,4.2,
ASPIRING TERRACE,347000,Wanaka Central,Res,3 or less,6.1,
BOTTING PLACE,347000,Wanaka Central,Res,3 or less,5.0,
BROWNSTON STREET,347000,Wanaka Central,Res,3 or less,10.0,
BURBANK ROAD,347000,Wanaka Central,Res,3 or less,8.4,
CAMPBELL ROAD,347000,Wanaka Central,Res,3 or less,5.3,
CARDRONA VALLEY ROAD,347000,Wanaka Central,Res,3 or less,7.5,
DEANS DRIVE,347000,Wanaka Central,Res,3 or less,5.0,
DOUG LEDGERWOOD DRIVE,347000,Wanaka Central,Res,3 or less,7.5,
DUNGARVON STREET,347000,Wanaka Central,Res,3 or less,5.2,
DURRY LANE,347000,Wanaka Central,Res,3 or less,5.0,
EUREKA STREET,347000,Wanaka Central,Res,3 or less,5.0,
GOLF COURSE ROAD,347000,Wanaka Central,Res,8,6.2,49.8
HELWICK STREET,347000,Wanaka Central,Res,3 or less,5.0,
KEOWN STREET,347000,Wanaka Central,Res,3 or less,9.0,
MARJON DRIVE,347000,Wanaka Central,Res,5,5.1,25.7
MASON STREET,347000,Wanaka Central,Res,3 or less,10.0,
MCCAW MEWS,347000,Wanaka Central,Res,3 or less,5.0,
MCDONALD STREET,347000,Wanaka Central,Res,3 or less,4.0,
MCDOUGALL STREET,347000,Wanaka Central,Res,3 or less,4.8,
MOUNTAIN VIEW DRIVE,347000,Wanaka Central,Res,5,5.8,28.8
ORCHARD ROAD,347000,Wanaka Central,Res,3 or less,5.0,
PACKER ROAD,347000,Wanaka Central,Res,3 or less,8.2,
PARKVIEW STREET,347000,Wanaka Central,Res,3 or less,4.8,
PETERCULTER DRIVE,347000,Wanaka Central,Res,3 or less,5.0,
RIVERBANK ROAD,347000,Wanaka Central,Res,3 or less,5.3,
ROCHE STREET,347000,Wanaka Central,Res,3 or less,5.0,
RUBUS STREET,347000,Wanaka Central,Res,3 or less,9.1,
SIMPSON CRESCENT,347000,Wanaka Central,Res,3 or less,10.0,
STONE STREET,347000,Wanaka Central,Res,3 or less,5.0,
TENBY STREET,347000,Wanaka Central,Res,5,7.0,35.0
UPTON STREET,347000,Wanaka Central,Res,3 or less,4.6,
WALLACE PLACE,347000,Wanaka Central,Res,3 or less,4.1,
WARREN STREET,347000,Wanaka Central,Res,3 or less,4.8,
YOUGHAL STREET,347000,Wanaka Central,Res,3 or less,7.7,
BELL STREET,347100,Lake Hawea,Res,3 or less,6.5,
BODKIN STREET,347100,Lake Hawea,Res,4,4.9,19.5
BREWSTER CRESCENT,347100,Lake Hawea,Res,3 or less,6.4,
